SMILES,InChI,Count
c1ccc2c(c1)CNC2,GWVMLCQWXVFZCN-UHFFFAOYSA-N,2576
O=C1CCOc2ccccc21,MSTDXOZUKAQDRL-UHFFFAOYSA-N,2562
c1ncc2sccc2n1,RBNBDIMXFJYDLQ-UHFFFAOYSA-N,2541
c1cc2[nH]cnc2cn1,UBOOKRVGOBKDMM-UHFFFAOYSA-N,2525
C1CN2CCC1CC2,SBYHFKPVCBCYGV-UHFFFAOYSA-N,2519
c1cnn2ccnc2c1,VTVRXITWWZGKHV-UHFFFAOYSA-N,2487
C1CSCN1,OGYGFUAIIOPWQD-UHFFFAOYSA-N,2486
O=C1C=CC(=O)N1,PEEHTFAAVSWFBL-UHFFFAOYSA-N,2472
C1COCO1,WNXJIVFYUVYPPR-UHFFFAOYSA-N,2415
C1CC2CCC(C1)N2,DGGKXQQCVPAUEA-UHFFFAOYSA-N,2413
C1=Cc2ccccc2OC1,KYNSBQPICQTCGU-UHFFFAOYSA-N,2408
O=c1[nH]c2ccccc2o1,ASSKVPFEZFQQNQ-UHFFFAOYSA-N,2403
c1ccc2c3c([nH]c2c1)CNCC3,CFTOTSJVQRFXOF-UHFFFAOYSA-N,2330
c1ccc2[nH+]cccc2c1,SMWDFEZZVXVKRB-UHFFFAOYSA-O,2269
c1cc2c(s1)CCCC2,CBKDCOKSXCTDAA-UHFFFAOYSA-N,2261
c1ccc2oncc2c1,KTZQTRPPVKQPFO-UHFFFAOYSA-N,2251
c1cnon1,JKFAIQOWCVVSKC-UHFFFAOYSA-N,2243
c1ccc2nc3c(cc2c1)CCCC3,RXBYRTSOWREATF-UHFFFAOYSA-N,2235
O=c1[nH]ccc2ccccc12,VDBNYAPERZTOOF-UHFFFAOYSA-N,2230
c1c[nH+]c[nH]1,RAXXELZNTBOGNW-UHFFFAOYSA-O,2209
O=C1CSCN1,NOLHRFLIXVQPSZ-UHFFFAOYSA-N,2147
c1cc2[nH]ncc2cn1,WCXFPLXZZSWROM-UHFFFAOYSA-N,2139
O=c1[nH]cn[nH]1,LZTSCEYDCZBRCJ-UHFFFAOYSA-N,2131
O=C1CCCC(=O)N1,KNCYXPMJDCCGSJ-UHFFFAOYSA-N,2112
C1=CNC=CC1,YNGDWRXWKFWCJY-UHFFFAOYSA-N,2110
c1ncsn1,YGTAZGSLCXNBQL-UHFFFAOYSA-N,2097
c1csnn1,UGUHFDPGDQDVGX-UHFFFAOYSA-N,2067
O=C1CCc2ccccc2N1,TZOYXRMEFDYWDQ-UHFFFAOYSA-N,2066
C1C[C@@H]2CC[C@H](C1)N2,DGGKXQQCVPAUEA-KNVOCYPGSA-N,2042
O=C1C=CCCC1,FWFSEYBSWVRWGL-UHFFFAOYSA-N,2027
c1ccc2c(c1)NCCO2,YRLORWPBJZEGBX-UHFFFAOYSA-N,2016
c1ccn2cnnc2c1,AYSYSOQSKKDJJY-UHFFFAOYSA-N,2001
c1cc2c(s1)CNCC2,HXNOEHIMWZDRTK-UHFFFAOYSA-N,1957
O=C1OCc2ccccc21,WNZQDUSMALZDQF-UHFFFAOYSA-N,1938
C=C1NC(=O)NC1=O,UJIBFPBOBFXMKO-UHFFFAOYSA-N,1916
C1COC1,AHHWIHXENZJRFG-UHFFFAOYSA-N,1914
O=C1CN=Cc2ccccc2N1,UDLAUVFRZXIQJS-UHFFFAOYSA-N,1911
O=C1NC(=O)c2cccc3cccc1c23,XJHABGPPCLHLLV-UHFFFAOYSA-N,1897
c1cnc2ncncc2c1,UDJFFSGCRRMVFH-UHFFFAOYSA-N,1882
c1ccn2ncnc2c1,DACWQSNZECJJGG-UHFFFAOYSA-N,1817
O=c1c2ccccc2oc2ccccc12,JNELGWHKGNBSMD-UHFFFAOYSA-N,1806
O=c1cc[nH]cc1,GCNTZFIIOFTKIY-UHFFFAOYSA-N,1795
C1CSCCN1,BRNULMACUQOKMR-UHFFFAOYSA-N,1771
C1=COCCC1,BUDQDWGNQVEFAC-UHFFFAOYSA-N,1768
c1ccc2c(c1)Nc1ccccc1S2,WJFKNYWRSNBZNX-UHFFFAOYSA-N,1756
C1CC[C@H]2[C@H](C1)CC[C@@H]1[C@@H]2CC[C@@H]2CCC[C@H]21,UACIBCPNAKBWHX-YTLBIWTGSA-N,1746
c1cnc2sccc2c1,SMZMHUCIDGHERP-UHFFFAOYSA-N,1741
c1cnncn1,FYADHXFMURLYQI-UHFFFAOYSA-N,1725
c1ccc2c(c1)CC[C@H]1[C@@H]3CCC[C@H]3CC[C@H]21,GBGFUQOSVTZLFA-SVGFKBNWSA-N,1709
C=C1C(=O)NC(=O)NC1=O,MNFRTFYEPYGIMU-UHFFFAOYSA-N,1708
c1ccc2cnncc2c1,LFSXCDWNBUNEEM-UHFFFAOYSA-N,1703
C1=CCCC1,LPIQUOYDBNQMRZ-UHFFFAOYSA-N,1686
O=C1Nc2ccccc2C1=O,JXDYKVIHCLTXOP-UHFFFAOYSA-N,1675
c1cnn2cnnc2c1,YRACHDVMKITFAZ-UHFFFAOYSA-N,1663
O=C1NCCCOc2ccccc21,FODJKJWIJKUZPE-UHFFFAOYSA-N,1661
O=c1[nH]cnc2sccc12,JEDVKUHCDPPWNR-UHFFFAOYSA-N,1660
O=c1cccco1,ZPSJGADGUYYRKE-UHFFFAOYSA-N,1647
c1cn2ncsc2n1,UVNXNSUKKOLFBM-UHFFFAOYSA-N,1646
c1cnsc1,ZLTPDFXIESTBQG-UHFFFAOYSA-N,1617
c1cn2ccsc2n1,UFBBWLWUIISIPW-UHFFFAOYSA-N,1604
O=c1cc[nH]c2ncccc12,NQUIRWXTTAMWIU-UHFFFAOYSA-N,1599
C1=NCCO1,IMSODMZESSGVBE-UHFFFAOYSA-N,1599
C=C1SC(=N)NC1=O,AWQVRSQATGSWHM-UHFFFAOYSA-N,1582
C1CC[C@H]2[C@H](C1)CC[C@H]1[C@@H]3CC[C@H]4CCC[C@@H]4[C@H]3CC[C@@H]12,XMUFZMQCRLMYIC-RLEROFIGSA-N,1580
O=c1[nH]cnc2[nH]ncc12,OFCNXPDARWKPPY-UHFFFAOYSA-N,1552
C1CN1,NOWKCMXCCJGMRR-UHFFFAOYSA-N,1537
c1n[nH]c2c1CNCC2,VGMJQHONPAXABH-UHFFFAOYSA-N,1533
O=C1C=CC(=O)C=C1,AZQWKYJCGOJGHM-UHFFFAOYSA-N,1504
O=c1ccnc2ccccn12,NYJWYCAHJRGKMI-UHFFFAOYSA-N,1489
c1ccc2c(c1)CCNCC2,MWVMYAWMFTVYED-UHFFFAOYSA-N,1474
C=C1CCOC1=O,GSLDEZOOOSBFGP-UHFFFAOYSA-N,1463
O=C1CCC=NN1,ORSUMIZRRGPJBR-UHFFFAOYSA-N,1462
C1NC[C@H]2C[C@@H]12,HGWUUOXXAIISDB-SYDPRGILSA-N,1455
N=c1[nH]ccs1,RAIPHJJURHTUIC-UHFFFAOYSA-N,1446
O=c1cnc2ccccc2[nH]1,FFRYUAVNPBUEIC-UHFFFAOYSA-N,1433
O=C1CCCCCN1,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,1425
C1CC[C@H]2[C@@H](C1)CC[C@@H]1[C@@H]2CC[C@@H]2CCC[C@H]21,UACIBCPNAKBWHX-ROIMOXLHSA-N,1413
c1cc2cncnn2c1,KGRPHHFLPMPUBB-UHFFFAOYSA-N,1409
c1ccc2c3c([nH]c2c1)CCCC3,XKLNOVWDVMWTOB-UHFFFAOYSA-N,1408
